Article Name,NER Name Extracted
A voice for the unheard Activists bring the impact to.txt,"('Tafoya', 'PERSON'), ('Jackson', 'PERSON'), ('Midwest', 'LOCATION'), ('U.S. Environmental Protection Agency', 'ORGANIZATION'), ('Elyria-Swansea', 'LOCATION'), ('PUC', 'ORGANIZATION'), ('Denver', 'LOCATION'), ('EJSCREEN', 'LOCATION'), ('EPA', 'ORGANIZATION'), ('Aurora', 'LOCATION'), ('Xcel Energy-Colorado', 'ORGANIZATION'), ('Xcel Energy-Colorado', 'PERSON'), ('Elyria', 'LOCATION'), ('Judith Kohler Judith Kohler', 'PERSON'), ('Alice Jackson', 'PERSON'), ('Colorado', 'LOCATION'), ('JudithKohler Co', 'ORGANIZATION'), ('Xcel Energy', 'ORGANIZATION'), ('Colorado Public Utilities Commission', 'ORGANIZATION'), ('Ean Tafoya', 'PERSON'), ('Swansea', 'LOCATION'), ('Ren-Caspar Smith', 'PERSON'), ('Colorado Air Quality Control Commission', 'ORGANIZATION'), ('Environmental Justice Coalition on Black Hills Energy', 'ORGANIZATION'), ('GreenLatinos', 'ORGANIZATION'), ('Dominique Jackson', 'PERSON'), ('Comanche', 'ORGANIZATION'), ('Texas', 'LOCATION'), ('Sierra Club', 'ORGANIZATION'), ('Senate', 'ORGANIZATION'), ('Judith Kohler', 'PERSON'), ('Bill', 'PERSON'), ('Smith', 'PERSON'), ('Denver Environmental Health', 'ORGANIZATION'), ('Colorado General Assembly', 'ORGANIZATION'), ('Colorado Department of Public Health and Environment', 'ORGANIZATION'), ('Pueblo', 'LOCATION'), ('Xcel', 'ORGANIZATION'), ('Denver Post', 'ORGANIZATION')"
Advocates say financial analysis shows Boulder muni would re.txt,"('Burchell', 'PERSON'), ('Deborah Swearingen', 'PERSON'), ('Peterson', 'PERSON'), ('Yates', 'PERSON'), ('Bob Yates', 'PERSON'), ('Boulder', 'LOCATION'), ('Emily Sandoval', 'PERSON'), ('Xcel Energy', 'ORGANIZATION'), ('Boulder', 'ORGANIZATION'), ('Sandoval', 'PERSON'), ('Susan Peterson', 'PERSON'), ('Colorado Daily', 'ORGANIZATION'), ('Public Service Company of Colorado', 'ORGANIZATION'), ('Alison Burchell', 'PERSON'), ('Elizabeth Hartman', 'PERSON'), ('Xcel', 'ORGANIZATION'), ('Leslie Glustrom', 'PERSON')"
After_the_beetles_Forests_starting_to_recover__Post_Independent_Glenwood_Springs_CO___February_24_2020.txt,"('Ecological Society of America', 'ORGANIZATION'), ('Sarah Hart', 'PERSON'), ('Colorado', 'LOCATION'), ('Veblen', 'PERSON'), ('University of Colorado Boulder', 'ORGANIZATION'), ('University of Wisconsin Madison', 'ORGANIZATION'), ('Robert Andrus', 'PERSON'), ('Vail Fire Department', 'ORGANIZATION'), ('Cada', 'PERSON'), ('Camp Fire', 'LOCATION'), ('Thomas Veblen', 'PERSON'), ('Hart', 'PERSON'), ('Paul Cada', 'PERSON'), ('California', 'LOCATION'), ('Andrus', 'PERSON'), ('Vail', 'LOCATION')"
After_the_fire__Delta_County_Independent_CO___December_11_2020.txt,"('Mark Rackay Mother Nature', 'PERSON'), ('Mark Rackay', 'PERSON'), ('Nucla', 'LOCATION'), ('Colorado', 'LOCATION'), ('Flamingo', 'LOCATION'), ('Mesa County', 'LOCATION'), ('Glenwood Canyon', 'LOCATION'), ('Uncompahgre National Forest', 'LOCATION'), ('Western Slope', 'LOCATION'), ('Black Forest of Mangroves', 'ORGANIZATION'), ('Ma Nature', 'PERSON'), ('Everglades National Park', 'LOCATION'), ('Florida Bay', 'LOCATION')"
All-electric_is_the_way_to_go_Writers_on_the__Tribune_The_Gleneagle_Black_Forest_CO___January_26_2021.txt,"('U.S.', 'LOCATION'), ('Nevada', 'LOCATION'), ('Tribune', 'ORGANIZATION'), ('West', 'LOCATION'), ('Black Forest', 'ORGANIZATION'), ('Colorado', 'LOCATION'), ('Xcel Energy', 'ORGANIZATION'), ('California', 'LOCATION'), ('San Francisco', 'LOCATION'), ('AUDEN SCHENDLER', 'PERSON'), ('Snowmass Village', 'LOCATION'), ('Board of Supervisors', 'ORGANIZATION'), ('Og', 'ORGANIZATION'), ('Basalt', 'LOCATION'), ('Garry Kasparov', 'PERSON'), ('Texas', 'LOCATION'), ('Seattle', 'LOCATION'), ('East West Partners', 'ORGANIZATION'), ('Roaring Fork Valley', 'LOCATION'), ('T ed White', 'PERSON'), ('Rocky Mountain Institute', 'ORGANIZATION'), ('Electric Pass Lodge', 'ORGANIZATION'), ('Auden Schendler', 'PERSON'), ('United States', 'LOCATION'), ('Aspen Skiing Company', 'ORGANIZATION')"
Allenspark_firefighters_get_needed_equipment__Estes_Park_Trail-Gazette_CO___May_27_2021.txt,"('Lyons', 'PERSON'), ('Estes Park', 'LOCATION'), ('Mike Cousineau', 'PERSON'), ('Continental', 'ORGANIZATION'), ('Area Club', 'ORGANIZATION'), ('Leo Touzjian', 'PERSON'), ('U.S. Forest Service', 'ORGANIZATION'), ('Johnathon Oppermann', 'PERSON'), ('Durstine', 'PERSON'), ('Allenspark Fire Department', 'ORGANIZATION'), ('Larimer', 'LOCATION'), ('Allenspark Fire Protection District', 'ORGANIZATION'), ('Boulder Counties', 'LOCATION'), ('amara Durstine', 'PERSON'), ('Couseineau', 'PERSON'), ('Northern Colorado', 'LOCATION'), ('Oppermann', 'PERSON'), ('Pinewood Springs', 'LOCATION'), ('Lefthand Canyon', 'LOCATION'), ('Wendy Rig', 'PERSON')"
All_public_lands_close_in_Clear_Creek_County__Clear_Creek_Courant_Idaho_Springs_CO___October_20_2020.txt,"('Clear Creek County', 'LOCATION'), ('Haas', 'PERSON'), ('Clear Creek', 'LOCATION'), ('Grand County', 'LOCATION'), ('Clear Creek Road & Bridge', 'LOCATION'), ('U.S. Forest Service', 'ORGANIZATION'), ('Colorado', 'LOCATION'), ('Arapaho & Roosevelt National Forest', 'ORGANIZATION'), ('Bergen Peak', 'LOCATION'), ('Virginia Canyon Mountain Park', 'LOCATION'), ('Wheelock', 'PERSON'), ('Colorado Department of Transportation', 'ORGANIZATION'), ('Colorado Parks & Wildlife', 'ORGANIZATION'), ('Randy Wheelock', 'PERSON'), ('Mount Evans State Wildlife Areas', 'LOCATION'), ('Georgetown Loop Railroad', 'LOCATION'), ('Georgetown', 'LOCATION'), ('USFS', 'ORGANIZATION'), ('Idaho Springs', 'LOCATION'), ('Scott Haas', 'PERSON'), ('Historic District Public Lands', 'ORGANIZATION'), ('Denver Mountain Parks', 'LOCATION'), (""Clear Creek Sheriff 's Office"", 'ORGANIZATION')"
An Earth Day Report Card for Aspen  the Roaring Fork Valley.txt,"('Grand County', 'LOCATION'), ('Points Film Fest', 'ORGANIZATION'), ('US Forest Service', 'ORGANIZATION'), ('Scott Condon', 'PERSON'), ('U.S.', 'LOCATION'), ('Hunter Creek', 'LOCATION'), ('Bailey McDonough', 'PERSON'), ('Crystal Lake trailhead', 'LOCATION'), ('Glenwood Canyon', 'LOCATION'), ('RFTA', 'ORGANIZATION'), ('John Doyle', 'PERSON'), ('Pitkin County Open Space and Trails', 'ORGANIZATION'), ('Vail Daily', 'ORGANIZATION'), ('Basalt Mountain', 'LOCATION'), ('Braderich Creek', 'LOCATION'), ('Roaring Fork Mountain Bike Association', 'ORGANIZATION'), ('Aspen Valley Land Trust', 'ORGANIZATION'), ('Michael Kinsley', 'PERSON'), ('U.S. Forest Service', 'ORGANIZATION'), ('Colorado', 'LOCATION'), ('Maroon Bells', 'ORGANIZATION'), ('Karin Teague', 'PERSON'), ('Holy Cross Energy', 'ORGANIZATION'), ('Dwight Shellman', 'PERSON'), ('Holy Cross', 'ORGANIZATION'), ('Aspen Times', 'ORGANIZATION'), ('Aspen', 'ORGANIZATION'), ('Paepcke Park', 'LOCATION'), ('Cottonwood Pass', 'LOCATION'), ('White River National Forest', 'LOCATION'), ('Lisa Stoeffler', 'PERSON'), ('Bureau of Land Management', 'ORGANIZATION'), ('Snowmass Village', 'LOCATION'), ('Kelsey BrunnerThe Aspen Times', 'ORGANIZATION'), ('Basalt', 'LOCATION'), ('Colorado Mo', 'ORGANIZATION'), ('Joe Edwards', 'PERSON'), ('Ski Co', 'ORGANIZATION'), ('Will Roush', 'PERSON'), ('Aspen Center for Environmental Studies', 'ORGANIZATION'), ('Pitkin County Healthy Rivers', 'ORGANIZATION'), ('US Forest Service Aspen Country Day School', 'ORGANIZATION'), ('Highland Peak', 'LOCATION'), ('Independence Pass', 'LOCATION'), ('Pitkin County', 'LOCATION'), ('Sofia Abbaszadeh', 'PERSON'), ('AUDEN', 'PERSON'), ('Devil', 'PERSON'), ('Aspen Institute', 'ORGANIZATION'), ('JOHN DOYLE Aspen', 'PERSON'), ('Shoshone Dam', 'LOCATION'), ('USFS', 'ORGANIZATION'), ('Community Office for Resource Efficiency', 'ORGANIZATION'), ('Mona Newton', 'PERSON'), ('Independence Pass Foundation', 'ORGANIZATION'), ('Wilderness Workshop Co', 'ORGANIZATION'), ('Roaring Fork Valley', 'LOCATION'), ('Aspen', 'LOCATION'), ('Aspen Times Weekly Section', 'ORGANIZATION'), ('TACAW', 'ORGANIZATION'), ('Nell Lieb', 'PERSON'), ('Habitat for Humanity', 'ORGANIZATION'), ('KARIN TEAGUE', 'PERSON'), ('Andrew Lussie', 'PERSON'), ('Electric Pass Lodge', 'ORGANIZATION'), ('Defiende Nuestra Tierra', 'ORGANIZATION'), ('Auden Schendler', 'PERSON'), ('Thompson Divide', 'LOCATION'), ('Voces Unidas de las Montaas', 'ORGANIZATION'), ('Mother Earth', 'LOCATION'), ('Maroon Lake', 'LOCATION'), ('America', 'LOCATION'), ('Aspen Skiing Company', 'ORGANIZATION')"
Anatomy_of_a_wildfire_How_fuel_sources_weather__Vail_Daily_CO___August_19_2020.txt,"('Berino', 'PERSON'), ('Summit Fire & EMS', 'ORGANIZATION'), ('U.S. Forest Service', 'ORGANIZATION'), ('Torben Grumstrup', 'PERSON'), ('Fire Sciences Laboratory', 'ORGANIZATION'), ('Missoula', 'LOCATION'), ('Grumstrup', 'PERSON'), ('Jeff Berino', 'PERSON'), ('Ho', 'PERSON'), ('Greater Eagle Fire Protection District', 'ORGANIZATION'), ('Wilmore', 'PERSON'), ('Montana', 'LOCATION'), ('White River National Forest', 'LOCATION'), ('Ross Wilmore', 'PERSON'), ('Vail Daily', 'ORGANIZATION'), ('United States', 'LOCATION'), ('Colorado Mountain College', 'ORGANIZATION')"
As Colorado wildfires burn fears that climate change is caus.txt,"('Fischer', 'PERSON'), ('Denver Water', 'ORGANIZATION'), ('Mike Morgan', 'PERSON'), ('Fort Collins', 'LOCATION'), ('Bro', 'PERSON'), ('Cameron Peak', 'PERSON'), ('Colorado Department of Natural Resources', 'ORGANIZATION'), ('Southwest', 'LOCATION'), ('Richmond', 'LOCATION'), ('Colorado River', 'LOCATION'), ('Denver', 'LOCATION'), ('Clay Clarke', 'PERSON'), ('John Hickenlooper', 'PERSON'), ('Environmental Defense Fund', 'ORGANIZATION'), ('Colorado State University', 'ORGANIZATION'), ('Scott Denning', 'PERSON'), ('The Post', 'ORGANIZATION'), ('Lester', 'PERSON'), ('U.S. Forest Service', 'ORGANIZATION'), ('Joe Biden', 'PERSON'), ('Colorado', 'LOCATION'), ('Udall', 'PERSON'), ('Putnam', 'PERSON'), ('Colorado State Forest Service', 'ORGANIZATION'), ('Jeff Lukas', 'PERSON'), ('Russ Schumacher', 'PERSON'), ('Portland', 'LOCATION'), ('John Putnam', 'PERSON'), ('Renee Chacon', 'PERSON'), ('Lake Mead', 'LOCATION'), ('Colorado Water Conservation Board', 'ORGANIZATION'), ('Pine Gulch', 'PERSON'), ('Mexico', 'LOCATION'), ('Colorado Division of Fire Prevention and Control', 'ORGANIZATION'), ('Senate', 'ORGANIZATION'), ('Colorado River Basin', 'LOCATION'), ('Colorado Energy Office', 'ORGANIZATION'), ('Dan Gibbs', 'PERSON'), ('Broomfield Enterprise', 'ORGANIZATION'), ('Bruce Finley', 'PERSON'), ('Colorado River Basin State', 'LOCATION'), ('Colorado Department of Public Health', 'ORGANIZATION'), ('Grace Rink', 'PERSON'), ('Morgan', 'PERSON'), ('Colorado Springs', 'LOCATION'), ('Mike Lester', 'PERSON'), ('Gibbs', 'PERSON'), ('NASA', 'ORGANIZATION'), ('Pueblo', 'LOCATION'), ('CSU', 'ORGANIZATION'), ('Will Toor', 'PERSON'), ('Emily Fischer', 'PERSON'), ('Denver Post', 'ORGANIZATION'), ('Brad Udall', 'PERSON')"
