fire Name,NER Name Extracted
Fields Gulch Fire,"('Lincoln Volunteer Fire Department', 'ORGANIZATION'), ('Lincoln Ranger District', 'ORGANIZATION'), ('Lincoln', 'LOCATION'), ('Stonewall Lookout', 'PERSON')"
Tweety Fire,"('Temple', 'LOCATION'), ('Bell County', 'LOCATION'), ('Texas', 'LOCATION'), ('Forest Service', 'ORGANIZATION')"
Silver Highway Fire,"('Silver Highway', 'LOCATION'), ('Robert Lee', 'PERSON'), ('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION'), ('Coke County', 'LOCATION')"
Phillips Creek Fire,"('Mountain Ski Area', 'LOCATION'), ('Fairfield', 'LOCATION'), ('Phillips Creek Fire', 'ORGANIZATION'), ('Idaho', 'LOCATION'), ('Phillips Creek', 'LOCATION')"
Silverbrook Fire,"('Abilene', 'LOCATION'), ('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION'), ('Silverbrook', 'LOCATION'), ('Callahan County', 'LOCATION')"
Van Zandt 16:23 Fire,"('Van Zandt', 'PERSON'), ('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION'), ('Van Zandt County', 'LOCATION'), ('Mills', 'LOCATION')"
Apple Post-Fire BAER,"('Long-Term Recovery and Restoration', 'ORGANIZATION'), ('BAER', 'ORGANIZATION'), ('BAER', 'PERSON'), ('Long-Term Recovery and Restoration o Fire Suppression Repair', 'ORGANIZATION')"
Dead End Rd Fire,"('Concho County', 'LOCATION'), ('Lake Ivie VFD', 'LOCATION'), ('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION'), ('Millersview', 'LOCATION')"
Cub Lake Fire,"('Moose Creek Ranger District', 'LOCATION'), ('Cub Lake', 'LOCATION'), ('Lake Como', 'LOCATION'), ('Nez Perce-Clearwater', 'LOCATION')"
Pennington Creek Fire,"('Air Attack', 'ORGANIZATION'), ('Graford', 'LOCATION'), ('Pennington Creek', 'LOCATION'), ('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION'), ('Palo Pinto County', 'LOCATION')"
ROW Fire,"('Bastrop County', 'LOCATION'), ('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION'), ('Bastrop', 'LOCATION')"
All Hands Fire,"('Valera', 'LOCATION'), ('Forest Service', 'ORGANIZATION'), ('Coleman County', 'LOCATION'), ('Texas', 'LOCATION')"
R-1 Fire,"('Susanville', 'LOCATION'), ('Bureau of Land Management', 'ORGANIZATION'), ('CA', 'LOCATION'), ('Lassen County', 'LOCATION')"
Smith Fire,"('Mills County', 'LOCATION'), ('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION'), ('Mullin', 'LOCATION'), ('Smith', 'PERSON'), ('Mullin Fire Department', 'ORGANIZATION')"
FM 2965 Fire,"('Forest Service', 'ORGANIZATION'), ('Kaufman County', 'LOCATION'), ('Texas', 'LOCATION'), ('Wills Point', 'LOCATION')"
Pumpkin Fire,
Lake Creek Fire,"('Bill', 'PERSON'), ('Thunder Basin National Grassland- Converse County', 'LOCATION'), ('Wyo.- Near County Road 38', 'LOCATION'), ('Josh McGee', 'PERSON'), ('Dull Center', 'ORGANIZATION')"
Bear Creek Fire,"('Dillon', 'LOCATION'), ('Cheri Ford Forest Supervisor', 'ORGANIZATION'), ('Montana', 'LOCATION'), ('Beaverhead-Deerlodge National Forest', 'ORGANIZATION')"
Lake Fire,"('California Interagency Incident Management Team', 'ORGANIZATION'), ('Angeles National Forest', 'ORGANIZATION'), ('Big Cone Douglas Fir', 'ORGANIZATION'), ('Gray Pine', 'ORGANIZATION'), ('National Forest System', 'ORGANIZATION'), ('California', 'LOCATION'), ('Lake Fire', 'LOCATION'), ('Los Angeles County', 'LOCATION')"
Poodle Fire,"('Highway 447', 'LOCATION'), ('Gerlach', 'LOCATION'), ('Nevada', 'LOCATION')"
Mosier Creek Fire,"('Mosier', 'PERSON'), ('Oregon', 'LOCATION')"
Bucholtz Fire,"('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION'), ('Eldorado Fire Department', 'ORGANIZATION'), ('Eldorado', 'LOCATION'), ('Bucholtz', 'PERSON'), ('Schleicher County', 'LOCATION')"
Burk Fire,"('Concho County', 'LOCATION'), ('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION'), ('Eden', 'LOCATION'), ('Eden Fire Department', 'ORGANIZATION')"
Tatum Fire,"('Cross Plains', 'LOCATION'), ('Callahan County', 'LOCATION'), ('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION')"
Trails Fire,"('Forest Service', 'ORGANIZATION'), ('Llano County', 'LOCATION'), ('Texas', 'LOCATION'), ('Horseshoe Bay', 'LOCATION')"
Lake Leon Fire,"('Lake Leon', 'LOCATION'), ('Forest Service', 'ORGANIZATION'), ('Eastland County', 'LOCATION'), ('Texas', 'LOCATION')"
Ranch2 Fire,"('Angeles National Forest', 'ORGANIZATION'), ('East Fork Bridge', 'LOCATION'), ('Forest', 'ORGANIZATION'), ('California Conservation Crews', 'ORGANIZATION'), ('Glendora Ridge Road', 'LOCATION'), ('Glendora Mountain Road', 'LOCATION')"
Cistern Fire,"('Forest Service', 'ORGANIZATION'), ('Fisher County', 'LOCATION'), ('Texas', 'LOCATION')"
Gulch Fire,"('Porterville On-Call Crew', 'ORGANIZATION'), ('Adam Sanders', 'PERSON')"
Cameron Peak Fire,"('Continental', 'ORGANIZATION'), ('Jackson Counties', 'ORGANIZATION'), ('Poudre Canyon', 'LOCATION'), ('Office', 'ORGANIZATION'), ('Crystal Mountain', 'LOCATION'), ('Cedar Park', 'LOCATION'), ('Cameron Peak Fire', 'ORGANIZATION'), ('Boy Scout Ranch Road', 'LOCATION'), ('Rocky Mountain Incident Management Blue Team', 'ORGANIZATION'), ('Larimer', 'LOCATION'), ('Grand Junction', 'LOCATION'), ('Estes Park', 'LOCATION'), ('Pingree Park', 'LOCATION'), ('Rocky Mountain National Park', 'LOCATION'), ('Colorado', 'LOCATION'), ('Buckskin Heights', 'LOCATION'), ('Thompson Zone', 'LOCATION'), ('Engelmann', 'PERSON'), ('Poudre River Resort', 'LOCATION'), ('Larimer County Sheriff ’ s Office', 'ORGANIZATION'), ('NIMO Portland Type', 'ORGANIZATION'), ('Monument Gulch', 'LOCATION'), ('Rocky Mountain Incident Management Black Team', 'ORGANIZATION'), ('Manhattan Road', 'LOCATION'), ('Cameron Peak Fire', 'LOCATION'), ('Larimer County Damage Assessment Teams', 'ORGANIZATION'), ('Northwest Area Type', 'ORGANIZATION'), ('Arapaho', 'LOCATION'), ('Colorado State University Mountain Campus', 'ORGANIZATION'), ('Shambhala Mountain Center', 'LOCATION'), ('Buckhorn', 'LOCATION'), ('Red Feather Lakes', 'LOCATION'), ('Cameron Peak', 'PERSON'), ('Incident Management Team', 'ORGANIZATION'), ('Ponderosa Pine', 'ORGANIZATION'), ('Thompson Zone', 'PERSON'), ('Puerto Rico', 'LOCATION'), ('Cameron Pass', 'LOCATION'), ('Walden', 'LOCATION'), ('Pacific Northwest Type', 'ORGANIZATION'), ('Northwest Type', 'ORGANIZATION'), ('Redstone Canyon', 'LOCATION'), ('Pine Gulch Fire', 'ORGANIZATION'), ('Cameron Peak Fire', 'PERSON'), ('Pawnee National Grassland', 'ORGANIZATION'), ('Glen Haven', 'LOCATION'), ('Roosevelt National Forests', 'ORGANIZATION'), ('Cameron Peak Fire Incident Management Team', 'ORGANIZATION'), ('Archer', 'LOCATION'), ('Grand Zone', 'LOCATION'), ('Bobcat Ridge', 'LOCATION')"
Camp House Fire,"('Forest Service', 'ORGANIZATION'), ('Fredericksburg', 'LOCATION'), ('Texas', 'LOCATION'), ('Gillespie County', 'LOCATION')"
Regen Hill Fire,"('Cottletown Road', 'LOCATION'), ('Bastrop County Office of Emergency Management Facebook', 'ORGANIZATION'), ('Alum Creek', 'LOCATION'), ('Regen Hill', 'LOCATION')"
Grasshopper Fire,"('Henrietta', 'LOCATION'), ('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION'), ('Clay County', 'LOCATION')"
Turkey Creek Fire,"('Turkey Creek', 'LOCATION'), ('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION'), ('Mineral Wells', 'LOCATION'), ('Palo Pinto County', 'LOCATION')"
Spud Rock Fire,"('Redington Pass', 'LOCATION'), ('Rincon Mountains', 'LOCATION'), ('Mescal', 'LOCATION'), ('Tucson', 'LOCATION'), ('Saguaro National Park', 'LOCATION'), ('Spud Rock Campgrounds', 'LOCATION'), ('Vail', 'LOCATION')"
Mica Bowl Fire,"('Redington Pass', 'LOCATION'), ('Rincon Mountains', 'LOCATION'), ('Mescal', 'LOCATION'), ('Spud Rock Wilderness Campgrounds', 'LOCATION'), ('Tucson', 'LOCATION'), ('Saguaro National Park', 'LOCATION'), ('Mica Mountain', 'LOCATION'), ('Spud Rock', 'LOCATION'), ('Arizona Trail', 'LOCATION'), ('Heartbreak Ridge Turkey Creek Deerhead Spring East', 'LOCATION'), ('Manning Camp', 'ORGANIZATION'), ('Bathtub Mica Meadow Bonita', 'ORGANIZATION'), ('Vail', 'LOCATION')"
Williams Fork Fire,"('Fraser', 'LOCATION'), ('Arapaho National Forest', 'LOCATION'), ('Fraser', 'PERSON'), ('Williams Fork Fire', 'ORGANIZATION'), ('Colo.', 'LOCATION')"
Chimney Fire,"('Chimney', 'LOCATION'), ('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION'), ('Shackelford County', 'LOCATION'), ('Albany', 'LOCATION')"
Wood Canyon,
Trash Pile Fire,"('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION'), ('Wichita County', 'LOCATION')"
Loyalton Fire,"('Mount Ina Coolbrith', 'LOCATION'), ('Loyalton', 'LOCATION'), ('Beckwourth Pass', 'LOCATION'), ('Babbitt Peak', 'PERSON')"
Schoolhouse Fire,"('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION'), ('Jacksboro', 'LOCATION'), ('Jack County', 'LOCATION')"
Bucholtz 2 Fire,"('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION'), ('Eldorado', 'LOCATION'), ('Schleicher County', 'LOCATION'), ('Bucholtz', 'ORGANIZATION')"
McMean Fire,"('Sonora', 'LOCATION'), ('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION'), ('Val VerdeSutton County', 'LOCATION'), ('Sutton County', 'LOCATION')"
AR Fire,"('Forest Service', 'ORGANIZATION'), ('Coke County', 'LOCATION'), ('Water Valley', 'LOCATION'), ('Texas', 'LOCATION')"
Kent Crook Fire,"('Forest Service', 'ORGANIZATION'), ('Tom Green County', 'LOCATION'), ('Texas', 'LOCATION')"
Fox Hollow Fire,"('Forest Service', 'ORGANIZATION'), ('Fox Hollow', 'ORGANIZATION'), ('Texas', 'LOCATION'), ('Junction', 'LOCATION'), ('Kimble County', 'LOCATION')"
August Complex,"('Shasta-Trinity National Forest Closure and Map Mendocino National Forest', 'ORGANIZATION'), ('Mendocino', 'LOCATION')"
Muldoon Fire,
Crane Fire,"('Fremont-Winema National Forest', 'ORGANIZATION'), ('Northwest Incident Management Team', 'ORGANIZATION'), ('Lake County Fairgrounds', 'LOCATION'), ('Lakeview Fire Department', 'LOCATION'), ('Lakeview High School', 'ORGANIZATION'), ('Lake County', 'LOCATION'), ('Oregon', 'LOCATION'), ('Lakeview', 'LOCATION')"
Buckley Fire,"('Sonora', 'LOCATION'), ('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION'), ('Val Verde County', 'LOCATION')"
Elder,
Ridge Fire,"('Antelope Wash Road', 'LOCATION'), ('BLM', 'ORGANIZATION'), ('Kingman', 'LOCATION'), ('AZ', 'LOCATION'), ('Pine Lake', 'LOCATION'), ('Mohave County', 'LOCATION'), ('Hualapai Mountains', 'LOCATION'), ('Arizona', 'LOCATION')"
Indian Creek Fire,"('Juntura', 'LOCATION'), ('Rob Gubser', 'PERSON'), ('Creek', 'LOCATION'), ('Vale Bureau of Land Management', 'ORGANIZATION'), ('Vale', 'ORGANIZATION'), ('Jonesboro', 'LOCATION'), ('Ore', 'LOCATION'), ('Westfall', 'PERSON'), ('Bureau of Land Management', 'ORGANIZATION'), ('Vale BLM', 'ORGANIZATION'), ('Bureau of Land Management Vale District and Bureau', 'ORGANIZATION'), ('Northwest Incident Management Team', 'ORGANIZATION'), ('Harper', 'PERSON'), ('Brian Gales', 'PERSON'), ('Indian Creek Fire', 'ORGANIZATION')"
Snag Nob Fire,"('Bastrop County', 'LOCATION'), ('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION'), ('Buescher State Park', 'LOCATION'), ('Bastrop State Park', 'LOCATION')"
Danielson Fire,"('Menard County', 'LOCATION'), ('Fort McKavett', 'LOCATION'), ('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION'), ('Danielson', 'PERSON')"
Glover Fire,"('Glover', 'PERSON'), ('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION'), ('Archer County', 'LOCATION'), ('Archer City', 'LOCATION')"
Wood Lake Fire,"('Prairie Reef', 'LOCATION'), ('Wood Lake Fire', 'LOCATION'), ('Rocky Mountain Ranger District', 'LOCATION')"
Claremont Fire,"('Hough Ranger District', 'PERSON'), ('Plumas National Forest Facebook Page', 'ORGANIZATION'), ('California Interagency Incident Management Team', 'ORGANIZATION'), ('Claremont Fire', 'ORGANIZATION'), ('Plumas National Forest', 'ORGANIZATION')"
North Complex,"('Plumas National Forest', 'ORGANIZATION')"
8 Mile Fire,"('Sanderson VFD', 'LOCATION'), ('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION'), ('Heavy Air Tanker', 'ORGANIZATION'), ('Terrell County', 'LOCATION'), ('Sanderson', 'LOCATION')"
Chief Timothy Fire,"('IMT', 'ORGANIZATION')"
Dome Fire,"('Cima', 'PERSON'), ('Mojave National Preserve', 'ORGANIZATION'), ('Living West Press', 'ORGANIZATION'), ('Nevada', 'LOCATION'), ('Riverside', 'LOCATION'), ('Russell Hartill', 'PERSON'), ('Vredenburgh', 'PERSON'), ('Mojave National Preserve Several', 'ORGANIZATION'), ('California', 'LOCATION'), ('California Desert', 'LOCATION'), ('Larry Vredenburgh', 'PERSON'), ('Bureau of Land Management', 'ORGANIZATION'), ('Gary L. Shumway', 'PERSON'), ('Joshua Tree', 'PERSON'), ('San Bernardino', 'LOCATION'), ('California Desert Conservation Area', 'LOCATION')"
Beachie Creek Fire,"('Santiam Canyon', 'LOCATION'), ('IMT', 'ORGANIZATION'), ('Incident Command Post', 'ORGANIZATION'), ('Salem', 'LOCATION'), ('National Incident Management Organization', 'ORGANIZATION'), ('NIMO', 'ORGANIZATION'), ('Chemeketa Community College', 'ORGANIZATION'), ('Beachie Creek', 'LOCATION'), ('PNW Team 13', 'ORGANIZATION'), ('Oregon', 'LOCATION'), ('Northwest Oregon', 'ORGANIZATION'), ('Opal Creek Wilderness', 'LOCATION'), ('Portland', 'LOCATION'), ('Beachie Creek Fire', 'LOCATION'), ('Willamette National Forest', 'ORGANIZATION'), ('Lionshead Fire', 'LOCATION'), ('Mount Jefferson Wilderness', 'LOCATION'), ('Opal Creek', 'LOCATION')"
BLM NE CA Lightning ,"('California', 'LOCATION'), ('Susanville', 'LOCATION'), ('Bureau of Land Management', 'ORGANIZATION'), ('Ravendale', 'LOCATION'), ('Black Mountain', 'LOCATION')"
Krozier,
Poverty Canyon,"('Tennyson', 'LOCATION'), ('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION'), ('Heavy Air Tanker', 'ORGANIZATION'), ('Coke County', 'LOCATION')"
Mill Creek Fire,
132 Fire,"('Forest Service', 'ORGANIZATION'), ('Brenham', 'LOCATION'), ('Lee County', 'LOCATION'), ('Texas', 'LOCATION')"
Winged Elm Fire,"('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION'), ('Caldwell County', 'LOCATION'), ('San Marcos', 'LOCATION')"
Lockhart Mountain Fire,"('Llano', 'LOCATION'), ('Lockhart Mountain', 'LOCATION'), ('Forest Service', 'ORGANIZATION'), ('Llano County', 'LOCATION'), ('Texas', 'LOCATION')"
Glover 2 Fire,"('Glover', 'PERSON'), ('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION'), ('Archer County', 'LOCATION'), ('Archer City', 'LOCATION')"
W-5 Cold Springs,"('Black Rock Desert', 'LOCATION'), ('Eagle Lake', 'LOCATION'), ('Redding', 'PERSON'), ('North Coast', 'LOCATION'), ('California', 'LOCATION'), ('Susanville', 'LOCATION'), ('Mount Lassen', 'LOCATION'), ('Applegate', 'LOCATION'), ('Great Basin', 'LOCATION'), ('Arcata', 'LOCATION'), ('USC', 'ORGANIZATION'), ('Cedarville', 'LOCATION'), ('Alturas', 'LOCATION'), ('Applegate Field Office', 'ORGANIZATION'), ('South Warner Wilderness of the Modoc National Forest', 'ORGANIZATION'), ('Warner Mountain Ranger District', 'LOCATION'), ('Nevada', 'LOCATION'), ('Northern California District', 'LOCATION'), ('Northwestern Nevada', 'LOCATION'), ('Bureau of Land Management ( BLM', 'ORGANIZATION'), ('Lassen County', 'LOCATION'), ('Mount Shasta', 'LOCATION'), ('MODOC NATIONAL', 'ORGANIZATION'), ('Modoc County', 'LOCATION'), ('Bureau of Land Management', 'ORGANIZATION'), ('Modoc National Forest Facebook | BLM Northern California District Facebook | Modoc County Sheriff FacebookThis', 'ORGANIZATION')"
Green Ridge Fire,"('Ore.', 'LOCATION'), ('Camp Sherman', 'LOCATION'), ('Oregon', 'LOCATION')"
White River,"('Wasco County', 'LOCATION'), ('Oregon', 'LOCATION'), ('White River', 'LOCATION')"
Shissler Fire,"('Idaho', 'LOCATION'), ('Elk City', 'LOCATION'), ('Red River Hot Springs', 'LOCATION')"
Bull Fire,"('Bull Mesa Flat', 'ORGANIZATION'), ('Mazatzal Wilderness', 'LOCATION'), ('Payson', 'LOCATION')"
Teapot Fire,"('Sleeping Beauty Mountains', 'LOCATION')"
Gin Fire,"('Arizona State Department of Forestry', 'ORGANIZATION'), ('AZ', 'LOCATION'), ('Claypool', 'PERSON'), ('Globe', 'ORGANIZATION'), ('Griffin', 'PERSON'), ('Griffin Inciweb Page', 'PERSON'), ('Miami', 'LOCATION'), ('US 60', 'LOCATION'), ('San Carlos', 'LOCATION'), ('Griffin Fire', 'ORGANIZATION')"
Dolan Fire,"('Coleman', 'PERSON')"
Salt Fire,"('Tonto National Forest', 'ORGANIZATION')"
Griffin Fire,
Rolls Fire,"('Mesa Ranger District', 'LOCATION'), ('Lower Salt Recreation Area', 'ORGANIZATION')"
Freeze Out Fire,
Scrabble Fire,"('Pyramid Lake', 'LOCATION'), ('Nevada', 'LOCATION'), ('Carson City District BLM', 'ORGANIZATION'), ('Handcrews', 'PERSON'), ('Hardscrabble Canyon', 'LOCATION'), ('Sutcliffe', 'LOCATION')"
Copeland Fire,"('Valley County Sheriff', 'ORGANIZATION'), ('Valley County Sheriff and Payette National Forest', 'ORGANIZATION'), ('McCall Ranger District', 'PERSON'), ('ShawTwin Lakes', 'LOCATION'), ('California', 'LOCATION'), ('Potter Lane', 'LOCATION'), ('Boulder Reservoir', 'LOCATION'), ('Paddy Flat Road', 'LOCATION'), ('COPELAND', 'PERSON'), ('McCall', 'PERSON'), ('Payette National Forest', 'ORGANIZATION'), ('Boulder Lake Road', 'LOCATION'), ('Idaho Department of Lands', 'ORGANIZATION')"
Bear Fire,"('Hough Ranger District', 'PERSON'), ('Plumas National Forest Facebook Page', 'ORGANIZATION'), ('California Interagency Incident Management Team', 'ORGANIZATION'), ('Plumas National Forest', 'ORGANIZATION')"
Lost Oak Fire,"('Johnson City', 'LOCATION'), ('Forest Service', 'ORGANIZATION'), ('Blanco County', 'LOCATION'), ('Texas', 'LOCATION')"
LNU Lightning Complex,"('Hartle CourtNapa', 'PERSON'), ('Solano', 'LOCATION'), ('Stewarts', 'ORGANIZATION'), ('Hennessey', 'PERSON'), ('California', 'LOCATION'), ('Morgan', 'PERSON'), ('Sonomoa County Emergency', 'LOCATION'), ('Gamble', 'ORGANIZATION'), ('Yolo', 'LOCATION'), ('Sonoma', 'LOCATION'), ('Ukiah Field Office', 'ORGANIZATION'), ('LNU Lightning Complex', 'ORGANIZATION'), ('BLM Ukiah', 'ORGANIZATION'), ('Aetna', 'ORGANIZATION'), ('Solano County Animal', 'LOCATION'), ('Bennett Valley RoadSanta Rosa', 'ORGANIZATION'), ('Vallejo', 'LOCATION'), ('CAL FIRE Sonoma-Lake-Napa Unit', 'ORGANIZATION'), ('Green', 'PERSON'), (""Lake County Sheriff 's Office Facebook"", 'ORGANIZATION'), ('BLM California', 'LOCATION'), ('Napa', 'LOCATION'), ('Meyers', 'PERSON'), ('Walbridge', 'PERSON'), ('Facebook', 'ORGANIZATION'), ('Petaluma BlvdSouth Petaluma', 'LOCATION'), ('Markley', 'PERSON'), ('Napa Valley Horseman', 'ORGANIZATION'), ('National Wildfire Coordinating Group Fire Terminology Glossary', 'ORGANIZATION'), ('BLM Ukiah Field Office', 'ORGANIZATION'), ('Lake', 'LOCATION')"
CZU August Lightning Complex,"('Central Coast Field Office', 'ORGANIZATION'), ('San Mateo', 'LOCATION'), ('BLM California', 'LOCATION'), ('CAL FIRE San Mateo-Santa Cruz Unit', 'ORGANIZATION'), ('California', 'LOCATION'), ('BLM Social Media', 'ORGANIZATION'), ('Bureau of Land Management', 'ORGANIZATION'), ('Santa Cruz', 'LOCATION'), ('Waddell', 'PERSON'), ('Central California District', 'LOCATION'), ('Warrenella', 'PERSON')"
Palmer Fire,"('Okanogan County', 'LOCATION'), ('Okanogan County Emergency Management Department', 'ORGANIZATION')"
Fresno Fire,"('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION'), ('Fresno', 'LOCATION'), ('Brewster County', 'LOCATION'), ('Sanderson', 'LOCATION')"
Medio Fire,"('Carl Schwope', 'PERSON'), ('Medio Fire', 'ORGANIZATION'), ('Rio en Medio', 'LOCATION'), ('Rio Nambe', 'LOCATION'), ('Nambe Pueblo', 'PERSON')"
Elk Fire,"('Jackpot', 'LOCATION'), ('Nevada', 'LOCATION')"
Constellation Fire ,"('Wickenburg Mountains', 'LOCATION'), ('Wickenburg', 'LOCATION')"
Spring Fire,"('Deer Lick Springs', 'LOCATION'), ('South Fork Management Unit', 'ORGANIZATION')"
Frog Fire,
Laurel Fire,"('Laurel Fire', 'ORGANIZATION'), ('Chris Cline', 'PERSON'), ('Wheeler County', 'LOCATION'), ('Prineville BLM', 'ORGANIZATION'), ('Oregon Department of Forestry Type', 'ORGANIZATION')"
Meacham Complex,"(""Bureau of Indian Affairs.Mike Almas ' Incident Management Team"", 'ORGANIZATION'), ('Oregon Department of Forestry', 'ORGANIZATION'), ('Confederated Tribes of the Umatilla Indian Reservation', 'ORGANIZATION'), ('Meacham Complex North Branch', 'ORGANIZATION'), ('Mike Almas', 'PERSON'), ('Meacham Complex South Branch', 'ORGANIZATION'), ('Umatilla National Forest', 'ORGANIZATION'), ('Northern Rockies Team', 'ORGANIZATION')"
Steet Mountain Fire,"('Cochran Fire · Two Cabins Fire · Conger Fire · Troff Canyon Fire · Jones Canyon Fire', 'ORGANIZATION'), ('Grant County', 'LOCATION'), ('Chris Cline', 'PERSON'), ('Oregon Department of Forestry Type', 'ORGANIZATION'), ('Oregon', 'LOCATION')"
Riviera Park Fire,"('Amarillo', 'LOCATION'), ('Forest Service', 'ORGANIZATION'), ('Riviera Park', 'LOCATION'), ('Texas', 'LOCATION'), ('Potter County', 'LOCATION')"
McDowell Fire ,
Big Canyon Fire,"('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION'), ('Masterson', 'LOCATION'), ('Big Canyon', 'LOCATION'), ('Potter County', 'LOCATION')"
Shale Creek Fire,
Pocket Fire,"('Hellsgate Wilderness', 'LOCATION'), ('Derrick Pocket Area', 'LOCATION')"
Superstition Fire,"('Peralta Trail', 'LOCATION'), ('Canyon Lake', 'LOCATION'), ('John Pierson', 'PERSON'), ('Peralta Canyon Road', 'LOCATION')"
Saddle Fire,"('Saddle Ridge', 'LOCATION'), ('Pine', 'LOCATION')"
SQF Complex,"('Sequoia National Forest and Giant Sequoia National Monument', 'ORGANIZATION'), ('Inyo National Forest', 'ORGANIZATION'), ('Sequoia and Kings Canyon National Parks', 'ORGANIZATION'), ('Forest Closure', 'ORGANIZATION'), ('Sequoia National Forest', 'ORGANIZATION'), ('Bureau of Land Management', 'ORGANIZATION'), ('Sequoia National Park', 'LOCATION'), ('Sequoia National Forest.Containment', 'ORGANIZATION'), ('Golden Trout Wilderness', 'LOCATION'), ('Interagency Emergency Task Force', 'ORGANIZATION')"
Lionshead Fire,"('Lionshead Canyon', 'LOCATION'), ('Deschutes', 'LOCATION'), ('Detroit', 'LOCATION'), ('Willamette', 'LOCATION'), ('Santiam', 'LOCATION'), ('Breitenbush', 'LOCATION')"
P-515 Fire,"('Lionshead', 'LOCATION')"
Moc,"('Tuolumne', 'LOCATION'), ('Groveland', 'LOCATION'), ('BLM California', 'LOCATION'), ('National Wildfire Coordinating Group', 'ORGANIZATION'), ('Facebook', 'ORGANIZATION'), ('CalFire Tuolumne-Calaveras Unit', 'ORGANIZATION'), ('BLM Mother Lode Field Office', 'ORGANIZATION')"
East Fork Fire,
Hull,"('Lake Pillsbury', 'LOCATION'), ('Hull Mountain', 'LOCATION')"
Flat Fire,"('Pinyon-Juniper', 'LOCATION'), ('Nevada', 'LOCATION')"
Verde Fire,"('Daisy Mountain Fire Department Paramedic Module', 'ORGANIZATION'), ('Tonto National Forest', 'ORGANIZATION'), ('Cave Creek Ranger District', 'LOCATION'), ('CCRD', 'ORGANIZATION'), ('KA Ranch', 'LOCATION')"
SCU Lightning Complex,"('Central Coast Field Office', 'ORGANIZATION'), ('San Joaquin', 'LOCATION'), ('BLM California', 'LOCATION'), ('Contra Costa', 'ORGANIZATION'), ('Santa Clara Unit', 'ORGANIZATION'), ('Santa Clara', 'LOCATION'), ('California', 'LOCATION'), ('Bureau of Land Management', 'ORGANIZATION'), ('CalFire Santa Clara Unit', 'ORGANIZATION'), ('Alameda', 'LOCATION'), ('Central California District', 'LOCATION')"
Marion Fire,"('Powell', 'PERSON'), ('Lochsa-Powell Ranger District', 'LOCATION')"
River,"('Central Coast Field Office', 'ORGANIZATION'), ('BLM California', 'LOCATION'), ('National Wildfire Coordinating Group', 'ORGANIZATION'), ('Carmel Fire', 'ORGANIZATION'), ('Facebook', 'ORGANIZATION'), ('BLM Central Coast Field Office', 'ORGANIZATION'), ('Monterey County', 'LOCATION'), ('Incident Management Team', 'ORGANIZATION'), ('CalFire San Benito-Monterey Unit', 'ORGANIZATION'), ('Salinas', 'LOCATION')"
Bronco Fire,"('Tonto National Forest', 'ORGANIZATION'), ('Rio Verde Fire District', 'LOCATION'), ('Scottsdale Fire Department', 'ORGANIZATION'), ('WAPA', 'ORGANIZATION'), ('Sears Kay Date', 'PERSON'), ('Sears Kay', 'LOCATION'), ('Cave Creek Ranger District', 'LOCATION'), ('Daisy Mountain Fire Department', 'ORGANIZATION'), ('APS', 'ORGANIZATION')"
Woodward Fire,"('Yosemite National Park', 'LOCATION'), ('Wildland Firefighter Foundation', 'ORGANIZATION'), ('Marin County', 'LOCATION'), ('California', 'LOCATION'), ('Olema', 'LOCATION'), ('Limantour Beach', 'LOCATION'), ('National Wildfire Coordinating Group Fire Terminology Glossary', 'ORGANIZATION'), ('Bear Valley Visitor Center', 'ORGANIZATION'), ('Point Reyes National Seashore', 'LOCATION'), ('Woodward Trail', 'LOCATION'), ('Bay Area Air Quality Management District', 'LOCATION')"
Cinnabar Fire,"('Missoula Ranger District', 'LOCATION'), ('Stevensville', 'LOCATION'), ('Lolo National Forest', 'LOCATION'), ('Rock Creek', 'LOCATION')"
