fire Name,NER Name Extracted
Hart Fire,"('Hart', 'PERSON')"
Duke Fire,"('Hart', 'PERSON'), ('Duke Fires', 'ORGANIZATION')"
Museum Fire,
Bannack Fire,
Texas Fire,"('Texas', 'LOCATION')"
North Hills Fire,"('North Hills Fire', 'ORGANIZATION'), ('North Hills', 'LOCATION')"
Tree Fire,"('IMT', 'ORGANIZATION')"
Community Fire,"('IMT', 'ORGANIZATION'), ('Klamath River Community Hall', 'LOCATION')"
Hurricane Cliffs Fire,
Dixon Fire,"('Dixon', 'PERSON'), ('Dixon Creek', 'LOCATION'), ('Humboldt-Toiyabe National Forest', 'LOCATION'), ('Sierra Nevada', 'LOCATION'), ('Carson-Iceberg Wilderness', 'LOCATION')"
IPNF Prescribed Fire 2019,"('IdahoMontana Airshed Group', 'ORGANIZATION'), ('National Weather Service', 'ORGANIZATION'), ('Idaho Department of Environmental Quality', 'ORGANIZATION'), ('Idaho Panhandle National Forest', 'ORGANIZATION'), ('USDA Forest Service', 'ORGANIZATION')"
Adson Fire,"('Beaverhead County', 'LOCATION'), ('Wise River', 'LOCATION'), ('Pioneer Mountains Scenic Byway', 'LOCATION'), ('Beaverhead-Deerlodge National Forest', 'ORGANIZATION')"
Newman Fire BAER Info,"('BAER', 'PERSON'), ('BAER', 'ORGANIZATION'), ('NFS', 'ORGANIZATION')"
Nevada Creek Fire,"('Nevada Creek', 'LOCATION'), ('Mike Almas', 'PERSON'), ('Nevada Creek Fire', 'ORGANIZATION'), ('Northern Rockies Incident Management Team', 'ORGANIZATION'), ('Forest Facebook', 'ORGANIZATION')"
Ridgetop Fire,"('Montana', 'LOCATION'), ('Winnett', 'LOCATION'), ('Petroleum County', 'LOCATION')"
Black Diamond,"('Northern Rockies Incident Management Team', 'ORGANIZATION'), ('Mike Alma', 'PERSON'), ('Black Diamond Fire', 'ORGANIZATION')"
Lick Creek Fire,"('District', 'LOCATION'), ('Lick Creek', 'LOCATION'), ('North Idaho Type 3 Team', 'ORGANIZATION'), ('Avery', 'LOCATION'), ('Idaho', 'LOCATION')"
Nethker Fire,"('Crystal Mountain Road', 'LOCATION'), ('Burgdorf Creek Road', 'LOCATION'), ('Warren Wagon Road', 'LOCATION'), ('Creek Road', 'LOCATION'), ('Burgdorf Campground', 'LOCATION')"
Corta Fire,"('Nevada', 'LOCATION'), ('Jiggs', 'PERSON'), ('Corta Fire', 'ORGANIZATION')"
Horsefly Fire,"('Montana', 'LOCATION'), ('Lincoln Ranger District Type', 'ORGANIZATION'), ('Incident Management Team', 'ORGANIZATION'), ('Central Montana Type', 'ORGANIZATION'), ('Lincoln', 'LOCATION')"
Verde Fire,"('Rio Verde', 'LOCATION'), ('Fort McDowell Reservation', 'LOCATION'), ('Black Mesa', 'LOCATION'), ('Verde River', 'LOCATION')"
W-1 McDonald Fire,"('Madeline', 'LOCATION'), ('Lassen County', 'LOCATION')"
Frehner Canyon Fire,
Main Street Fire,
Broder Fire,"('Kernville', 'LOCATION')"
McClusky Fire,"('McClusky', 'PERSON'), ('Delmoe Lake', 'LOCATION'), ('Whitehall', 'ORGANIZATION')"
Copper Breaks Fire,"('Quanah', 'LOCATION'), ('Forest Service', 'ORGANIZATION'), ('Hardeman County', 'LOCATION'), ('Texas', 'LOCATION')"
Payette Fall Prescribed Fire 2019,"('National Weather Service', 'ORGANIZATION'), ('Idaho Department of Environmental Quality', 'ORGANIZATION'), ('IdahoMontana Airshed Group', 'ORGANIZATION'), ('Payette National Forest', 'ORGANIZATION')"
Vivian Fire,"('Forest Service', 'ORGANIZATION'), ('Foard County', 'LOCATION'), ('Crowell', 'LOCATION'), ('Texas', 'LOCATION')"
Snow Peak Fire,"('Alene', 'PERSON'), ('Idaho Panhandle National Forests Fire Information', 'ORGANIZATION'), ('Coeur', 'ORGANIZATION'), ('Idaho', 'LOCATION'), ('Alene River Ranger', 'LOCATION')"
Horse Fire,"('Susanville', 'LOCATION'), ('Calif.', 'LOCATION')"
Smith Knob Fire,"('Smith Knob Fire', 'ORGANIZATION'), ('Warren', 'PERSON')"
R-1 Ranch Fire,
Cherry Fire,"('Elko', 'LOCATION'), ('Cherry Springs Canyon', 'LOCATION'), ('Nevada', 'LOCATION')"
